,home_q1,home_q2,home_q3,home_q4,boxscore,away_q1,away_q2,away_q3,away_q4
0,3,9,0,7,199101270buf,3,7,7,3
0,0,0,10,14,199201260buf,0,17,14,6
0,7,3,7,0,199301310buf,14,14,3,21
0,7,13,0,10,199401230buf,6,0,7,0
0,7,21,7,3,199401230dal,0,7,7,7
0,7,3,8,8,199501290sdg,14,14,14,7
0,10,3,7,7,199601280dal,0,7,0,10
0,10,17,8,0,199701260gnb,14,0,7,0
0,7,10,7,7,199801250den,7,7,3,7
0,3,3,0,13,199901310atl,7,10,0,17
0,0,0,6,10,200001300oti,3,6,7,7
0,0,0,7,0,200101280nyg,7,3,14,10
0,0,14,3,3,200202030nwe,3,0,0,14
0,3,0,6,12,200301260rai,3,17,14,14
0,0,10,0,19,200402010car,0,14,0,18
0,0,7,7,10,200502060nwe,0,7,7,7
0,0,7,7,7,200602050pit,3,0,7,0
0,14,0,3,0,200702040chi,6,10,6,7
0,0,7,0,7,200802030nwe,3,0,0,14
0,0,7,0,16,200902010crd,3,14,3,7
0,10,0,7,0,201002070clt,0,6,10,15
0,14,7,0,10,201102060pit,0,10,7,8
0,0,10,7,0,201202050nwe,9,0,6,6
0,7,14,7,6,201302030sfo,3,3,17,8
0,0,0,8,0,201402020den,8,14,14,7
0,0,14,0,14,201502010sea,0,14,10,0
0,0,7,0,3,201602070den,10,3,3,8
0,3,9,14,7,201802040nwe,9,13,7,12
0,0,3,0,10,201902030ram,0,0,3,0
0,7,3,0,21,202002020kan,3,7,10,0
